"Equipos_visitantes","Mas_de_0_goles","Mas_de_1_gol","Mas_de_2_goles","Mas_de_3_goles","Mas_de_4_goles","Mas_de_5_goles","Mas_de_6_goles","Mas_de_7_goles","Mas_de_8_goles","Mas_de_9_goles","Mas_de_10_goles"
"Alaves",78.2,43.4,13.4,2,0.1,0,0,0,0,0,0
"Almeria",86.5,42.3,6.8,0.3,0,0,0,0,0,0,0
"Ath_Bilbao",91.4,56,14.4,1.1,0,0,0,0,0,0,0
"Ath_Madrid",83.4,54.3,22.5,5.3,0.7,0,0,0,0,0,0
"Barcelona",87.7,61.2,27.7,7.1,1,0.1,0,0,0,0,0
"Betis",84.2,49,14.6,1.9,0.1,0,0,0,0,0,0
"Celta",83.8,50,16.2,2.4,0.2,0,0,0,0,0,0
"Eibar",82.2,36.3,5.2,0.2,0,0,0,0,0,0,0
"Espanol",85.4,51,15.8,2.1,0.1,0,0,0,0,0,0
"Getafe",84.1,51,17.1,2.7,0.2,0,0,0,0,0,0
"Granada",81.5,48.1,16.1,2.7,0.2,0,0,0,0,0,0
"Coruna",81.4,38.3,6.8,0.4,0,0,0,0,0,0,0
"Palmas",76.3,36.5,8,0.7,0,0,0,0,0,0,0
"Leganes",81.2,31.7,3.3,0.1,0,0,0,0,0,0,0
"Levante",78.1,32.1,4.4,0.2,0,0,0,0,0,0,0
"Malaga",79.1,33.1,4.6,0.2,0,0,0,0,0,0,0
"Mallorca",82.9,49,15.9,2.4,0.2,0,0,0,0,0,0
"Osasuna",87,52.1,15.4,1.8,0.1,0,0,0,0,0,0
"Real_Madrid",91,75.1,50.7,25.9,9.6,2.4,0.4,0,0,0,0
"Sevilla",87.5,59.8,25.7,6,0.7,0,0,0,0,0,0
"Sociedad",87.5,62.9,31.1,9.4,1.6,0.2,0,0,0,0,0
"Sp_Gijon",81.7,25.2,1.3,0,0,0,0,0,0,0,0
"Valencia",87,59.6,26.1,6.4,0.8,0,0,0,0,0,0
"Valladolid",85.1,50,14.9,1.9,0.1,0,0,0,0,0,0
"Vallecano",93,63.3,21.4,2.7,0.1,0,0,0,0,0,0
"Villarreal",85.4,57,24.1,5.7,0.7,0,0,0,0,0,0
